PrimaryKey,id,description,value,valueUnitOfMeasure
15451334minutes,154513,Downtime in BREADBLAST04,34,minutes
15451521minutes,154515,Downtime in BREADBLAST04,21,minutes
15451924minutes,154519,Downtime in BREADBLAST04,24,minutes
14824614minutes,148246,Downtime in BREADBLAST04,14,minutes
14825530minutes,148255,Downtime in BREADBLAST05,30,minutes
14823521minutes,148235,Downtime in BREADBLAST04,21,minutes
1482361minutes,148236,Downtime in BREADBLAST04,1,minutes
148237-1minutes,148237,Downtime in BREADBLAST04,-1,minutes
14824933minutes,148249,Downtime in BREADBLAST04,33,minutes
14826123minutes,148261,Downtime in BREADBLAST04,23,minutes
1482659minutes,148265,Downtime in BREADBLAST04,9,minutes
14834220minutes,148342,Downtime in BREADBLAST04,20,minutes
14825222minutes,148252,Downtime in BREADBLAST04,22,minutes
148267159minutes,148267,Downtime in BREADBLAST05,159,minutes
14826914minutes,148269,Downtime in BREADBLAST05,14,minutes
14825014minutes,148250,Downtime in BREADBLAST04,14,minutes
14826326minutes,148263,Downtime in BREADBLAST04,26,minutes
14828620minutes,148286,Downtime in BREADBLAST04,20,minutes
14828830minutes,148288,Downtime in BREADBLAST04,30,minutes
14830622minutes,148306,Downtime in BREADBLAST04,22,minutes
14327615minutes,143276,Downtime in BREADBLAST05,15,minutes
14327814minutes,143278,Downtime in BREADBLAST05,14,minutes
143295517minutes,143295,Downtime in BREADBLAST04,517,minutes
143296720minutes,143296,Downtime in BREADBLAST04,720,minutes
143297582minutes,143297,Downtime in BREADBLAST04,582,minutes
143298439minutes,143298,Downtime in BREADBLAST06,439,minutes
143299720minutes,143299,Downtime in BREADBLAST06,720,minutes
143300583minutes,143300,Downtime in BREADBLAST06,583,minutes
14334920minutes,143349,Downtime in BREADBLAST07,20,minutes
14755922minutes,147559,Downtime in BREADBLAST05,22,minutes
14756116minutes,147561,Downtime in BREADBLAST05,16,minutes
14757276minutes,147572,Downtime in BREADBLAST05,76,minutes
14759216minutes,147592,Downtime in BREADBLAST05,16,minutes
14759754minutes,147597,Downtime in BREADBLAST05,54,minutes
147577218minutes,147577,Downtime in BREADBLAST05,218,minutes
14760130minutes,147601,Downtime in BREADBLAST05,30,minutes
1476037minutes,147603,Downtime in BREADBLAST05,7,minutes
1476043minutes,147604,Downtime in BREADBLAST05,3,minutes
14757921minutes,147579,Downtime in BREADBLAST05,21,minutes
14758012minutes,147580,Downtime in BREADBLAST05,12,minutes
14760623minutes,147606,Downtime in BREADBLAST05,23,minutes
1476426minutes,147642,Downtime in BREADBLAST05,6,minutes
15462225minutes,154622,Downtime in BREADBLAST04,25,minutes
15463527minutes,154635,Downtime in BREADBLAST04,27,minutes
15465921minutes,154659,Downtime in BREADBLAST06,21,minutes
15463924minutes,154639,Downtime in BREADBLAST06,24,minutes
15466715minutes,154667,Downtime in BREADBLAST07,15,minutes
15463817minutes,154638,Downtime in BREADBLAST04,17,minutes
154649101minutes,154649,Downtime in BREADBLAST06,101,minutes
1546601minutes,154660,Downtime in BREADBLAST06,1,minutes
15469429minutes,154694,Downtime in BREADBLAST04,29,minutes
1546951minutes,154695,Downtime in BREADBLAST04,1,minutes
15434722minutes,154347,Downtime in BREADBLAST06,22,minutes
15435122minutes,154351,Downtime in BREADBLAST06,22,minutes
15435321minutes,154353,Downtime in BREADBLAST06,21,minutes
15435421minutes,154354,Downtime in BREADBLAST06,21,minutes
15436628minutes,154366,Downtime in BREADBLAST06,28,minutes
15435721minutes,154357,Downtime in BREADBLAST06,21,minutes
15436020minutes,154360,Downtime in BREADBLAST06,20,minutes
15436418minutes,154364,Downtime in BREADBLAST04,18,minutes
16818311minutes,168183,Downtime in BREADBLAST06,11,minutes
1681692minutes,168169,Downtime in BREADBLAST06,2,minutes
16819113minutes,168191,Downtime in BREADBLAST06,13,minutes
16820825minutes,168208,Downtime in BREADBLAST04,25,minutes
1682134minutes,168213,Downtime in BREADBLAST05,4,minutes
1682145minutes,168214,Downtime in BREADBLAST05,5,minutes
16821711minutes,168217,Downtime in BREADBLAST04,11,minutes
16822337minutes,168223,Downtime in BREADBLAST05,37,minutes
16817428minutes,168174,Downtime in BREADBLAST05,28,minutes
16817730minutes,168177,Downtime in BREADBLAST06,30,minutes
1681780minutes,168178,Downtime in BREADBLAST06,0,minutes
16819223minutes,168192,Downtime in BREADBLAST04,23,minutes
1682408minutes,168240,Downtime in BREADBLAST04,8,minutes
1682099minutes,168209,Downtime in BREADBLAST04,9,minutes
16821525minutes,168215,Downtime in BREADBLAST04,25,minutes
1682443minutes,168244,Downtime in BREADBLAST05,3,minutes
16826317minutes,168263,Downtime in BREADBLAST06,17,minutes
14831615minutes,148316,Downtime in BREADBLAST04,15,minutes
1483704minutes,148370,Downtime in BREADBLAST04,4,minutes
14839228minutes,148392,Downtime in BREADBLAST04,28,minutes
14839414minutes,148394,Downtime in BREADBLAST04,14,minutes
14839923minutes,148399,Downtime in BREADBLAST05,23,minutes
1484104minutes,148410,Downtime in BREADBLAST05,4,minutes
14844520minutes,148445,Downtime in BREADBLAST04,20,minutes
1484113minutes,148411,Downtime in BREADBLAST05,3,minutes
14843824minutes,148438,Downtime in BREADBLAST04,24,minutes
1484393minutes,148439,Downtime in BREADBLAST04,3,minutes
14837217minutes,148372,Downtime in BREADBLAST04,17,minutes
148485220minutes,148485,Downtime in BREADBLAST07,220,minutes
14720212minutes,147202,Downtime in BREADBLAST06,12,minutes
14721525minutes,147215,Downtime in BREADBLAST06,25,minutes
14724616minutes,147246,Downtime in BREADBLAST06,16,minutes
14725126minutes,147251,Downtime in BREADBLAST06,26,minutes
14725344minutes,147253,Downtime in BREADBLAST06,44,minutes
14725716minutes,147257,Downtime in BREADBLAST06,16,minutes
1472584minutes,147258,Downtime in BREADBLAST06,4,minutes
1472594minutes,147259,Downtime in BREADBLAST06,4,minutes
14801110minutes,148011,Downtime in BREADBLAST07,10,minutes
14804287minutes,148042,Downtime in BREADBLAST04,87,minutes
14806626minutes,148066,Downtime in BREADBLAST05,26,minutes
148147160minutes,148147,Downtime in BREADBLAST04,160,minutes
148148720minutes,148148,Downtime in BREADBLAST04,720,minutes
148149410minutes,148149,Downtime in BREADBLAST04,410,minutes
14813413minutes,148134,Downtime in BREADBLAST05,13,minutes
15539520minutes,155395,Downtime in BREADBLAST04,20,minutes
15539819minutes,155398,Downtime in BREADBLAST04,19,minutes
15543021minutes,155430,Downtime in BREADBLAST05,21,minutes
15543114minutes,155431,Downtime in BREADBLAST05,14,minutes
15546015minutes,155460,Downtime in BREADBLAST04,15,minutes
15546115minutes,155461,Downtime in BREADBLAST04,15,minutes
155462180minutes,155462,Downtime in BREADBLAST04,180,minutes
15545730minutes,155457,Downtime in BREADBLAST07,30,minutes
15549620minutes,155496,Downtime in BREADBLAST06,20,minutes
15550320minutes,155503,Downtime in BREADBLAST06,20,minutes
15550424minutes,155504,Downtime in BREADBLAST06,24,minutes
15551021minutes,155510,Downtime in BREADBLAST06,21,minutes
1555112minutes,155511,Downtime in BREADBLAST06,2,minutes
1555124minutes,155512,Downtime in BREADBLAST06,4,minutes
1555275minutes,155527,Downtime in BREADBLAST06,5,minutes
15553116minutes,155531,Downtime in BREADBLAST06,16,minutes
16222918minutes,162229,Downtime in BREADBLAST07,18,minutes
1622108minutes,162210,Downtime in BREADBLAST07,8,minutes
16226512minutes,162265,Downtime in BREADBLAST06,12,minutes
1622614minutes,162261,Downtime in BREADBLAST05,4,minutes
16224350minutes,162243,Downtime in BREADBLAST07,50,minutes
1622532minutes,162253,Downtime in BREADBLAST06,2,minutes
1622896minutes,162289,Downtime in BREADBLAST05,6,minutes
16229014minutes,162290,Downtime in BREADBLAST05,14,minutes
1622936minutes,162293,Downtime in BREADBLAST04,6,minutes
14874422minutes,148744,Downtime in BREADBLAST04,22,minutes
1487451minutes,148745,Downtime in BREADBLAST04,1,minutes
14872117minutes,148721,Downtime in BREADBLAST05,17,minutes
14877016minutes,148770,Downtime in BREADBLAST04,16,minutes
154338608minutes,154338,Downtime in BREADBLAST06,608,minutes
154339720minutes,154339,Downtime in BREADBLAST06,720,minutes
154340720minutes,154340,Downtime in BREADBLAST06,720,minutes
154341720minutes,154341,Downtime in BREADBLAST06,720,minutes
154342720minutes,154342,Downtime in BREADBLAST06,720,minutes
154343246minutes,154343,Downtime in BREADBLAST06,246,minutes
15437234minutes,154372,Downtime in BREADBLAST06,34,minutes
15438713minutes,154387,Downtime in BREADBLAST05,13,minutes
15439225minutes,154392,Downtime in BREADBLAST04,25,minutes
15439417minutes,154394,Downtime in BREADBLAST04,17,minutes
1544005minutes,154400,Downtime in BREADBLAST04,5,minutes
154408590minutes,154408,Downtime in BREADBLAST07,590,minutes
15437827minutes,154378,Downtime in BREADBLAST05,27,minutes
15438178minutes,154381,Downtime in BREADBLAST06,78,minutes
15438220minutes,154382,Downtime in BREADBLAST05,20,minutes
15438418minutes,154384,Downtime in BREADBLAST06,18,minutes
15438523minutes,154385,Downtime in BREADBLAST05,23,minutes
15439923minutes,154399,Downtime in BREADBLAST04,23,minutes
1544184minutes,154418,Downtime in BREADBLAST06,4,minutes
1544213minutes,154421,Downtime in BREADBLAST06,3,minutes
15442619minutes,154426,Downtime in BREADBLAST06,19,minutes
15445727minutes,154457,Downtime in BREADBLAST04,27,minutes
1544582minutes,154458,Downtime in BREADBLAST04,2,minutes
1435534minutes,143553,Downtime in BREADBLAST05,4,minutes
1435542minutes,143554,Downtime in BREADBLAST05,2,minutes
14357722minutes,143577,Downtime in BREADBLAST05,22,minutes
14357813minutes,143578,Downtime in BREADBLAST05,13,minutes
14522826minutes,145228,Downtime in BREADBLAST05,26,minutes
1452291minutes,145229,Downtime in BREADBLAST05,1,minutes
16255118minutes,162551,Downtime in BREADBLAST06,18,minutes
16258429minutes,162584,Downtime in BREADBLAST06,29,minutes
16262922minutes,162629,Downtime in BREADBLAST05,22,minutes
16264212minutes,162642,Downtime in BREADBLAST04,12,minutes
14900524minutes,149005,Downtime in BREADBLAST05,24,minutes
14901219minutes,149012,Downtime in BREADBLAST05,19,minutes
14912695minutes,149126,Downtime in BREADBLAST07,95,minutes
14907327minutes,149073,Downtime in BREADBLAST04,27,minutes
1490742minutes,149074,Downtime in BREADBLAST04,2,minutes
14911010minutes,149110,Downtime in BREADBLAST04,10,minutes
1491060minutes,149106,Downtime in BREADBLAST07,0,minutes
149107105minutes,149107,Downtime in BREADBLAST07,105,minutes
14913828minutes,149138,Downtime in BREADBLAST04,28,minutes
1434203minutes,143420,Downtime in BREADBLAST05,3,minutes
1434587minutes,143458,Downtime in BREADBLAST05,7,minutes
14344621minutes,143446,Downtime in BREADBLAST05,21,minutes
14347715minutes,143477,Downtime in BREADBLAST05,15,minutes
143377309minutes,143377,Downtime in BREADBLAST05,309,minutes
1433602minutes,143360,Downtime in BREADBLAST05,2,minutes
14336822minutes,143368,Downtime in BREADBLAST05,22,minutes
1433752minutes,143375,Downtime in BREADBLAST05,2,minutes
14338822minutes,143388,Downtime in BREADBLAST05,22,minutes
14344539minutes,143445,Downtime in BREADBLAST05,39,minutes
1434474minutes,143447,Downtime in BREADBLAST05,4,minutes
16186112minutes,161861,Downtime in BREADBLAST06,12,minutes
1619134minutes,161913,Downtime in BREADBLAST07,4,minutes
1619304minutes,161930,Downtime in BREADBLAST07,4,minutes
16193219minutes,161932,Downtime in BREADBLAST05,19,minutes
16196215minutes,161962,Downtime in BREADBLAST06,15,minutes
16197029minutes,161970,Downtime in BREADBLAST04,29,minutes
16191218minutes,161912,Downtime in BREADBLAST04,18,minutes
16198218minutes,161982,Downtime in BREADBLAST04,18,minutes
1619902minutes,161990,Downtime in BREADBLAST07,2,minutes
1618884minutes,161888,Downtime in BREADBLAST07,4,minutes
1619523minutes,161952,Downtime in BREADBLAST07,3,minutes
16196619minutes,161966,Downtime in BREADBLAST04,19,minutes
16199620minutes,161996,Downtime in BREADBLAST07,20,minutes
16824879minutes,168248,Downtime in BREADBLAST06,79,minutes
16827723minutes,168277,Downtime in BREADBLAST06,23,minutes
16823824minutes,168238,Downtime in BREADBLAST04,24,minutes
16829118minutes,168291,Downtime in BREADBLAST04,18,minutes
1682422minutes,168242,Downtime in BREADBLAST04,2,minutes
16828422minutes,168284,Downtime in BREADBLAST06,22,minutes
1682855minutes,168285,Downtime in BREADBLAST06,5,minutes
16828923minutes,168289,Downtime in BREADBLAST04,23,minutes
16826224minutes,168262,Downtime in BREADBLAST04,24,minutes
16827824minutes,168278,Downtime in BREADBLAST06,24,minutes
16826121minutes,168261,Downtime in BREADBLAST06,21,minutes
14260033minutes,142600,Downtime in BREADBLAST07,33,minutes
1426103minutes,142610,Downtime in BREADBLAST04,3,minutes
1426634minutes,142663,Downtime in BREADBLAST04,4,minutes
1426365minutes,142636,Downtime in BREADBLAST04,5,minutes
1426396minutes,142639,Downtime in BREADBLAST04,6,minutes
14267012minutes,142670,Downtime in BREADBLAST06,12,minutes
14270320minutes,142703,Downtime in BREADBLAST04,20,minutes
1636755minutes,163675,Downtime in BREADBLAST05,5,minutes
16369216minutes,163692,Downtime in BREADBLAST04,16,minutes
16369516minutes,163695,Downtime in BREADBLAST05,16,minutes
16370110minutes,163701,Downtime in BREADBLAST04,10,minutes
16371422minutes,163714,Downtime in BREADBLAST04,22,minutes
16371633minutes,163716,Downtime in BREADBLAST04,33,minutes
16371890minutes,163718,Downtime in BREADBLAST05,90,minutes
16370721minutes,163707,Downtime in BREADBLAST05,21,minutes
16372323minutes,163723,Downtime in BREADBLAST04,23,minutes
16373427minutes,163734,Downtime in BREADBLAST04,27,minutes
16373530minutes,163735,Downtime in BREADBLAST04,30,minutes
1637744minutes,163774,Downtime in BREADBLAST04,4,minutes
14296015minutes,142960,Downtime in BREADBLAST07,15,minutes
14297817minutes,142978,Downtime in BREADBLAST04,17,minutes
14305515minutes,143055,Downtime in BREADBLAST04,15,minutes
15355931minutes,153559,Downtime in BREADBLAST06,31,minutes
1535603minutes,153560,Downtime in BREADBLAST06,3,minutes
15357624minutes,153576,Downtime in BREADBLAST04,24,minutes
15357919minutes,153579,Downtime in BREADBLAST04,19,minutes
1535826minutes,153582,Downtime in BREADBLAST06,6,minutes
1535845minutes,153584,Downtime in BREADBLAST06,5,minutes
1535915minutes,153591,Downtime in BREADBLAST06,5,minutes
15360930minutes,153609,Downtime in BREADBLAST05,30,minutes
15361122minutes,153611,Downtime in BREADBLAST05,22,minutes
15363722minutes,153637,Downtime in BREADBLAST05,22,minutes
1536128minutes,153612,Downtime in BREADBLAST06,8,minutes
1536003minutes,153600,Downtime in BREADBLAST06,3,minutes
15361428minutes,153614,Downtime in BREADBLAST05,28,minutes
15362122minutes,153621,Downtime in BREADBLAST05,22,minutes
15364721minutes,153647,Downtime in BREADBLAST05,21,minutes
1536515minutes,153651,Downtime in BREADBLAST06,5,minutes
15367731minutes,153677,Downtime in BREADBLAST07,31,minutes
1536993minutes,153699,Downtime in BREADBLAST06,3,minutes
14775526minutes,147755,Downtime in BREADBLAST05,26,minutes
14774026minutes,147740,Downtime in BREADBLAST07,26,minutes
14774254minutes,147742,Downtime in BREADBLAST07,54,minutes
1477562minutes,147756,Downtime in BREADBLAST05,2,minutes
14779814minutes,147798,Downtime in BREADBLAST04,14,minutes
14781520minutes,147815,Downtime in BREADBLAST04,20,minutes
14781021minutes,147810,Downtime in BREADBLAST04,21,minutes
1478111minutes,147811,Downtime in BREADBLAST04,1,minutes
14783720minutes,147837,Downtime in BREADBLAST04,20,minutes
147779463minutes,147779,Downtime in BREADBLAST04,463,minutes
147780720minutes,147780,Downtime in BREADBLAST04,720,minutes
147781720minutes,147781,Downtime in BREADBLAST04,720,minutes
147782720minutes,147782,Downtime in BREADBLAST04,720,minutes
147783720minutes,147783,Downtime in BREADBLAST04,720,minutes
147784720minutes,147784,Downtime in BREADBLAST04,720,minutes
147785720minutes,147785,Downtime in BREADBLAST04,720,minutes
147786720minutes,147786,Downtime in BREADBLAST04,720,minutes
147787720minutes,147787,Downtime in BREADBLAST04,720,minutes
147788720minutes,147788,Downtime in BREADBLAST04,720,minutes
147789720minutes,147789,Downtime in BREADBLAST04,720,minutes
147790720minutes,147790,Downtime in BREADBLAST04,720,minutes
14947710minutes,149477,Downtime in BREADBLAST04,10,minutes
14948028minutes,149480,Downtime in BREADBLAST04,28,minutes
14950430minutes,149504,Downtime in BREADBLAST07,30,minutes
1495173minutes,149517,Downtime in BREADBLAST06,3,minutes
1495579minutes,149557,Downtime in BREADBLAST04,9,minutes
1495294minutes,149529,Downtime in BREADBLAST04,4,minutes
1495503minutes,149550,Downtime in BREADBLAST04,3,minutes
16531219minutes,165312,Downtime in BREADBLAST05,19,minutes
16530622minutes,165306,Downtime in BREADBLAST04,22,minutes
16531023minutes,165310,Downtime in BREADBLAST05,23,minutes
16531411minutes,165314,Downtime in BREADBLAST06,11,minutes
16534822minutes,165348,Downtime in BREADBLAST05,22,minutes
16535020minutes,165350,Downtime in BREADBLAST05,20,minutes
16535522minutes,165355,Downtime in BREADBLAST05,22,minutes
16535621minutes,165356,Downtime in BREADBLAST05,21,minutes
16535821minutes,165358,Downtime in BREADBLAST05,21,minutes
1653590minutes,165359,Downtime in BREADBLAST05,0,minutes
16537422minutes,165374,Downtime in BREADBLAST05,22,minutes
1653754minutes,165375,Downtime in BREADBLAST05,4,minutes
1654292minutes,165429,Downtime in BREADBLAST06,2,minutes
16237913minutes,162379,Downtime in BREADBLAST06,13,minutes
16240819minutes,162408,Downtime in BREADBLAST04,19,minutes
16239625minutes,162396,Downtime in BREADBLAST05,25,minutes
16240021minutes,162400,Downtime in BREADBLAST05,21,minutes
1624011minutes,162401,Downtime in BREADBLAST05,1,minutes
16245914minutes,162459,Downtime in BREADBLAST06,14,minutes
16769821minutes,167698,Downtime in BREADBLAST06,21,minutes
1677005minutes,167700,Downtime in BREADBLAST06,5,minutes
16772625minutes,167726,Downtime in BREADBLAST05,25,minutes
16775421minutes,167754,Downtime in BREADBLAST04,21,minutes
16776421minutes,167764,Downtime in BREADBLAST04,21,minutes
16775224minutes,167752,Downtime in BREADBLAST04,24,minutes
1677553minutes,167755,Downtime in BREADBLAST04,3,minutes
1677593minutes,167759,Downtime in BREADBLAST04,3,minutes
16776329minutes,167763,Downtime in BREADBLAST04,29,minutes
16776621minutes,167766,Downtime in BREADBLAST04,21,minutes
1677672minutes,167767,Downtime in BREADBLAST04,2,minutes
16779025minutes,167790,Downtime in BREADBLAST04,25,minutes
1677915minutes,167791,Downtime in BREADBLAST04,5,minutes
16176222minutes,161762,Downtime in BREADBLAST06,22,minutes
1617637minutes,161763,Downtime in BREADBLAST06,7,minutes
1617467minutes,161746,Downtime in BREADBLAST05,7,minutes
1617384minutes,161738,Downtime in BREADBLAST07,4,minutes
16179225minutes,161792,Downtime in BREADBLAST07,25,minutes
161801103minutes,161801,Downtime in BREADBLAST07,103,minutes
14726524minutes,147265,Downtime in BREADBLAST05,24,minutes
1472660minutes,147266,Downtime in BREADBLAST05,0,minutes
14727317minutes,147273,Downtime in BREADBLAST06,17,minutes
14727522minutes,147275,Downtime in BREADBLAST06,22,minutes
14727715minutes,147277,Downtime in BREADBLAST06,15,minutes
14728127minutes,147281,Downtime in BREADBLAST06,27,minutes
1472836minutes,147283,Downtime in BREADBLAST06,6,minutes
14728224minutes,147282,Downtime in BREADBLAST06,24,minutes
14734918minutes,147349,Downtime in BREADBLAST05,18,minutes
1473388minutes,147338,Downtime in BREADBLAST05,8,minutes
14733913minutes,147339,Downtime in BREADBLAST05,13,minutes
14734767minutes,147347,Downtime in BREADBLAST05,67,minutes
14737122minutes,147371,Downtime in BREADBLAST06,22,minutes
14245225minutes,142452,Downtime in BREADBLAST04,25,minutes
14240621minutes,142406,Downtime in BREADBLAST06,21,minutes
14961314minutes,149613,Downtime in BREADBLAST06,14,minutes
14961131minutes,149611,Downtime in BREADBLAST04,31,minutes
1496120minutes,149612,Downtime in BREADBLAST04,0,minutes
14961015minutes,149610,Downtime in BREADBLAST04,15,minutes
14965825minutes,149658,Downtime in BREADBLAST04,25,minutes
14966016minutes,149660,Downtime in BREADBLAST04,16,minutes
1496633minutes,149663,Downtime in BREADBLAST06,3,minutes
14967710minutes,149677,Downtime in BREADBLAST04,10,minutes
149685344minutes,149685,Downtime in BREADBLAST05,344,minutes
149686720minutes,149686,Downtime in BREADBLAST05,720,minutes
149687720minutes,149687,Downtime in BREADBLAST05,720,minutes
149688720minutes,149688,Downtime in BREADBLAST05,720,minutes
149689720minutes,149689,Downtime in BREADBLAST05,720,minutes
14966221minutes,149662,Downtime in BREADBLAST04,21,minutes
14966819minutes,149668,Downtime in BREADBLAST04,19,minutes
1496692minutes,149669,Downtime in BREADBLAST04,2,minutes
1437262minutes,143726,Downtime in BREADBLAST05,2,minutes
14374516minutes,143745,Downtime in BREADBLAST05,16,minutes
14375514minutes,143755,Downtime in BREADBLAST05,14,minutes
15555518minutes,155555,Downtime in BREADBLAST06,18,minutes
15556722minutes,155567,Downtime in BREADBLAST06,22,minutes
1555759minutes,155575,Downtime in BREADBLAST06,9,minutes
1556343minutes,155634,Downtime in BREADBLAST06,3,minutes
15559620minutes,155596,Downtime in BREADBLAST07,20,minutes
15559715minutes,155597,Downtime in BREADBLAST07,15,minutes
15559919minutes,155599,Downtime in BREADBLAST06,19,minutes
15564614minutes,155646,Downtime in BREADBLAST06,14,minutes
15564830minutes,155648,Downtime in BREADBLAST07,30,minutes
15564921minutes,155649,Downtime in BREADBLAST06,21,minutes
1556524minutes,155652,Downtime in BREADBLAST06,4,minutes
1557190minutes,155719,Downtime in BREADBLAST06,0,minutes
16196473minutes,161964,Downtime in BREADBLAST04,73,minutes
16196597minutes,161965,Downtime in BREADBLAST04,97,minutes
16197115minutes,161971,Downtime in BREADBLAST04,15,minutes
1619773minutes,161977,Downtime in BREADBLAST07,3,minutes
16197523minutes,161975,Downtime in BREADBLAST04,23,minutes
16198018minutes,161980,Downtime in BREADBLAST04,18,minutes
16199318minutes,161993,Downtime in BREADBLAST04,18,minutes
16199820minutes,161998,Downtime in BREADBLAST04,20,minutes
1634395minutes,163439,Downtime in BREADBLAST07,5,minutes
16345026minutes,163450,Downtime in BREADBLAST07,26,minutes
1635082minutes,163508,Downtime in BREADBLAST06,2,minutes
1635103minutes,163510,Downtime in BREADBLAST06,3,minutes
14357973minutes,143579,Downtime in BREADBLAST07,73,minutes
14365021minutes,143650,Downtime in BREADBLAST07,21,minutes
14364416minutes,143644,Downtime in BREADBLAST05,16,minutes
155167720minutes,155167,Downtime in BREADBLAST06,720,minutes
15520036minutes,155200,Downtime in BREADBLAST05,36,minutes
15519617minutes,155196,Downtime in BREADBLAST04,17,minutes
1552025minutes,155202,Downtime in BREADBLAST05,5,minutes
15520413minutes,155204,Downtime in BREADBLAST07,13,minutes
155270175minutes,155270,Downtime in BREADBLAST04,175,minutes
14940130minutes,149401,Downtime in BREADBLAST04,30,minutes
14940223minutes,149402,Downtime in BREADBLAST04,23,minutes
1494677minutes,149467,Downtime in BREADBLAST04,7,minutes
149419720minutes,149419,Downtime in BREADBLAST06,720,minutes
149420720minutes,149420,Downtime in BREADBLAST06,720,minutes
149421720minutes,149421,Downtime in BREADBLAST06,720,minutes
149422720minutes,149422,Downtime in BREADBLAST06,720,minutes
149423720minutes,149423,Downtime in BREADBLAST06,720,minutes
149424720minutes,149424,Downtime in BREADBLAST06,720,minutes
149425720minutes,149425,Downtime in BREADBLAST06,720,minutes
149426720minutes,149426,Downtime in BREADBLAST06,720,minutes
149427720minutes,149427,Downtime in BREADBLAST06,720,minutes
149428720minutes,149428,Downtime in BREADBLAST06,720,minutes
149429720minutes,149429,Downtime in BREADBLAST06,720,minutes
149430720minutes,149430,Downtime in BREADBLAST06,720,minutes
149431720minutes,149431,Downtime in BREADBLAST06,720,minutes
149432720minutes,149432,Downtime in BREADBLAST06,720,minutes
149433720minutes,149433,Downtime in BREADBLAST06,720,minutes
149434720minutes,149434,Downtime in BREADBLAST06,720,minutes
149435720minutes,149435,Downtime in BREADBLAST06,720,minutes
149436720minutes,149436,Downtime in BREADBLAST06,720,minutes
149437720minutes,149437,Downtime in BREADBLAST06,720,minutes
149438720minutes,149438,Downtime in BREADBLAST06,720,minutes
149439720minutes,149439,Downtime in BREADBLAST06,720,minutes
149440720minutes,149440,Downtime in BREADBLAST06,720,minutes
149441720minutes,149441,Downtime in BREADBLAST06,720,minutes
149442720minutes,149442,Downtime in BREADBLAST06,720,minutes
149443720minutes,149443,Downtime in BREADBLAST06,720,minutes
149444720minutes,149444,Downtime in BREADBLAST06,720,minutes
149445720minutes,149445,Downtime in BREADBLAST06,720,minutes
149446720minutes,149446,Downtime in BREADBLAST06,720,minutes
149447720minutes,149447,Downtime in BREADBLAST06,720,minutes
149448720minutes,149448,Downtime in BREADBLAST06,720,minutes
149449237minutes,149449,Downtime in BREADBLAST06,237,minutes
14945132minutes,149451,Downtime in BREADBLAST06,32,minutes
1494656minutes,149465,Downtime in BREADBLAST04,6,minutes
1494732minutes,149473,Downtime in BREADBLAST06,2,minutes
1495143minutes,149514,Downtime in BREADBLAST06,3,minutes
1495153minutes,149515,Downtime in BREADBLAST06,3,minutes
14949419minutes,149494,Downtime in BREADBLAST06,19,minutes
1624885minutes,162488,Downtime in BREADBLAST04,5,minutes
1624914minutes,162491,Downtime in BREADBLAST04,4,minutes
16250218minutes,162502,Downtime in BREADBLAST06,18,minutes
1625144minutes,162514,Downtime in BREADBLAST06,4,minutes
16251618minutes,162516,Downtime in BREADBLAST05,18,minutes
1625212minutes,162521,Downtime in BREADBLAST04,2,minutes
1625228minutes,162522,Downtime in BREADBLAST04,8,minutes
16257515minutes,162575,Downtime in BREADBLAST04,15,minutes
147431259minutes,147431,Downtime in BREADBLAST06,259,minutes
14744021minutes,147440,Downtime in BREADBLAST06,21,minutes
1474445minutes,147444,Downtime in BREADBLAST05,5,minutes
14748711minutes,147487,Downtime in BREADBLAST06,11,minutes
14751039minutes,147510,Downtime in BREADBLAST07,39,minutes
143777137minutes,143777,Downtime in BREADBLAST04,137,minutes
143778720minutes,143778,Downtime in BREADBLAST04,720,minutes
143779720minutes,143779,Downtime in BREADBLAST04,720,minutes
143780720minutes,143780,Downtime in BREADBLAST04,720,minutes
143781720minutes,143781,Downtime in BREADBLAST04,720,minutes
143782720minutes,143782,Downtime in BREADBLAST04,720,minutes
143783720minutes,143783,Downtime in BREADBLAST04,720,minutes
143784720minutes,143784,Downtime in BREADBLAST04,720,minutes
1437724minutes,143772,Downtime in BREADBLAST05,4,minutes
143785720minutes,143785,Downtime in BREADBLAST04,720,minutes
143786720minutes,143786,Downtime in BREADBLAST04,720,minutes
143787720minutes,143787,Downtime in BREADBLAST04,720,minutes
143788720minutes,143788,Downtime in BREADBLAST04,720,minutes
143789102minutes,143789,Downtime in BREADBLAST04,102,minutes
1438772minutes,143877,Downtime in BREADBLAST05,2,minutes
1438783minutes,143878,Downtime in BREADBLAST05,3,minutes
1514860minutes,151486,Downtime in BREADBLAST04,0,minutes
151487720minutes,151487,Downtime in BREADBLAST04,720,minutes
151488-1minutes,151488,Downtime in BREADBLAST04,-1,minutes
1514890minutes,151489,Downtime in BREADBLAST04,0,minutes
151490720minutes,151490,Downtime in BREADBLAST04,720,minutes
151491-1minutes,151491,Downtime in BREADBLAST04,-1,minutes
1514920minutes,151492,Downtime in BREADBLAST04,0,minutes
151493720minutes,151493,Downtime in BREADBLAST04,720,minutes
151494-1minutes,151494,Downtime in BREADBLAST04,-1,minutes
1514950minutes,151495,Downtime in BREADBLAST04,0,minutes
151496720minutes,151496,Downtime in BREADBLAST04,720,minutes
151497-1minutes,151497,Downtime in BREADBLAST04,-1,minutes
15154210minutes,151542,Downtime in BREADBLAST06,10,minutes
